English;Français;Date;Nb;Score;Taux;Good image;Taux2
For all my brave talk, ...;Malgré tous mes discours courageux, …;20/11/2022;2;2;1;1,1;-0,1
skyline (common name);la ligne d'horizon;28/11/2022;3;3;1;1,0875;-0,09
sophomore;la deuxième année d'étude;23/12/2022;7;7;1;1,0375;-0,04
to checkmate;faire échec et mat;20/01/2023;0;0;0;1,125;-1,13
Suit yourself.;Comme tu voudras. (S…);24/01/2023;4;4;1;1,075;-0,08
foolhardy (adj.);téméraire (f…);29/01/2023;1;-1;-1;1,1125;-2,11
a partridge;la perdrix;06/02/2023;0;0;0;1,125;-1,13
a grab bag;un sac à main;22/02/2023;0;0;0;1,125;-1,13
by luck of the draw (expr.);par chance (expr.);25/02/2023;8;8;1;1,025;-0,02
Give me a leg-up.;Fais-moi la courte-échelle.;05/03/2023;2;2;1;1,1;-0,1
a wine waiter;un sommelier;12/03/2023;1;1;1;1,1125;-0,11
soft-spoken;à la voix douce;13/03/2023;9;7;0,777777778;1,0125;-0,23
a beekeeper;un apiculteur;16/03/2023;0;0;0;1,125;-1,13
to gel;gélifier / prendre tournure;19/03/2023;2;2;1;1,1;-0,1
nostrils (common name);les narines;26/03/2023;0;0;0;1,125;-1,13
Don't take this as gospel.;Ne prends pas ça pour parole d'évangile.;21/04/2023;0;0;0;1,125;-1,13
clovers / clubs;trèfle (couleur de carte);13/05/2023;1;-1;-1;1,1125;-2,11
mere mortals;simple mortels;24/06/2023;3;3;1;1,0875;-0,09
silverware;l'argenterie;01/07/2023;4;2;0,5;1,075;-0,58
tufts of grass;des touffes d'herbe;17/07/2023;5;-1;-0,2;1,0625;-1,26
a pack;une meute;22/07/2023;3;3;1;1,0875;-0,09
to tune a guitar;accorder une guitare;22/08/2023;0;0;0;1,125;-1,13
Let's not count the chickens before they are hatched.;Il ne faut pas vendre la peau de l'ours avant de l'avoir tué.;05/11/2023;1;1;1;1,1125;-0,11
