english;français;Date;Nb;Score;Taux;image
outwardly;extérieurement;2020-06-02;19;1;0.05;88.75
overworked;surmené;2020-06-02;22;9;0.41;85.0
a breakwater;une digue;2020-06-02;17;13;0.76;91.25
threadbare;râpé;2020-06-02;17;9;0.53;91.25
arcane (adj.);ésotérique;2020-06-02;17;12;0.71;91.25
a prank;une farce;2020-06-02;11;7;0.64;98.75
hackneyed;rebattu;2020-06-02;17;-6;-0.35;91.25
to hover;flotter / voltiger;2020-06-02;20;14;0.7;87.5
a flock;un troupeau;2020-06-02;24;7;0.29;82.5
downright;carrément;2020-06-02;23;18;0.78;83.75
a hotgoblin;un lutin;2020-06-02;26;17;0.65;80.0
a triteness;une banalité;2020-06-02;25;15;0.6;81.25
ditto;idem;2020-06-02;21;7;0.33;86.25
a plight;une situation critique;2020-06-02;30;-3;-0.1;75.0
to pinpoint;préciser. mettre le doigt sur;2020-06-02;27;19;0.7;78.75
a comittal;un engagement;2020-06-02;19;9;0.47;88.75
to hamper;entraver;2020-06-22;18;-9;-0.5;90.0
a brink;un bord;2020-06-22;19;12;0.63;88.75
to curtail;réduire;2020-06-22;21;-14;-0.67;86.25
a glitch;un dysfonctionnement soudain (un bug);2020-06-22;27;18;0.67;78.75
a strait;un détroit;2020-06-22;24;17;0.71;82.5
to obviate;parer à;2020-06-22;21;-13;-0.62;86.25
twofold;double;2020-06-22;22;14;0.64;85.0
virtually;virtuellement / en pratique;2020-06-22;29;21;0.72;76.25
destitution (common name);la misère;2020-06-22;20;15;0.75;87.5
stingy;avare;2020-06-22;20;-6;-0.3;87.5
to come into being;naître;2020-06-22;25;16;0.64;81.25
base (adjective);vil. ignoble;2020-06-22;22;16;0.73;85.0
a leash;une laisse;2020-06-22;27;17;0.63;78.75
to buttress;soutenir. épauler;2020-06-22;19;14;0.74;88.75
a skein;un écheveau;2020-06-22;20;-2;-0.1;87.5
a spigot;un robinet;2020-06-22;23;16;0.7;83.75
wanting (adj.);manquant;2020-06-22;24;18;0.75;82.5
alight;en feu. en train de brûler;2020-06-22;23;16;0.7;83.75
likeness (common name);la ressemblance;2020-06-22;26;19;0.73;80.0
crestfallen (adj.);découragé;2020-06-22;15;-7;-0.47;93.75
to scold;réprimander;2020-06-22;26;-7;-0.27;80.0
a sequel;une suite;2020-06-22;17;12;0.71;91.25
seasoned;chevronné;2020-06-22;16;-2;-0.13;92.5
to mend;réparer;2020-06-22;26;0;0.0;80.0
to bode;présager;2020-06-22;22;18;0.82;85.0
to bring up;faire monter;2020-06-22;18;3;0.17;90.0
the utmost;le maximum;2020-06-22;21;13;0.62;86.25
to trim;réduire;2020-06-22;21;0;0.0;86.25
a dearth;une disette;2020-06-22;19;10;0.53;88.75
firsthand (adj.);de première main;2020-06-22;16;10;0.63;92.5
inasmuch;dans la mesure où;2020-06-22;16;8;0.5;92.5
a chore;une corvée;2020-06-22;16;8;0.5;92.5
the rump;la croupe;2020-06-22;24;12;0.5;82.5
Go figure!;Allez comprendre !;2020-06-22;24;19;0.79;82.5
luster (common name);le lustre. l'éclat. la gloire;2020-06-22;19;5;0.26;88.75
to take hold;s'emparer de;2020-06-22;19;5;0.26;88.75
the takeoff;le décollage;2020-06-22;23;18;0.78;83.75
to trade off;troquer;2020-06-22;27;16;0.59;78.75
to prop up;soutenir;2020-06-22;17;5;0.29;91.25
a winding;un enroulement;2020-06-22;18;11;0.61;90.0
a lap;un tour (de piste);2020-06-22;20;11;0.55;87.5
circuitous;détourné;2020-06-22;22;3;0.14;85.0
time and time again;maintes et maintes fois;2020-06-22;25;7;0.28;81.25
a fad;une mode;2020-06-22;22;9;0.41;85.0
colorfast;teint dans une couleur qui ne fadit pas au lavage;2020-06-22;17;14;0.82;91.25
an avocation;un métier;2020-06-22;22;9;0.41;85.0
off the cuff;au pied levé;2020-06-22;23;8;0.35;83.75
a cheerleader;une pom-pom girl;2020-06-22;8;5;0.63;102.5
a woof;une trame;2020-06-22;27;11;0.41;78.75
to knit;tricoter;2020-06-22;23;19;0.83;83.75
to sprinkle;saupoudrer;2020-06-22;17;6;0.35;91.25
a grapefruit;un pamplemousse;2020-06-22;16;9;0.56;92.5
a demographic;une tranche de la population;2020-06-22;14;5;0.36;95.0
to alight;mettre pied à terre;2020-07-02;19;5;0.26;88.75
to sing-song;chantonner. répéter d'une voix chantante (tables de multiplications. );2020-07-02;23;16;0.7;83.75
a slate;une ardoise;2020-07-02;27;12;0.44;78.75
daunting;intimidant;2020-07-02;36;16;0.44;67.5
the gist;l'essentiel. le point principal;2020-07-02;14;1;0.07;95.0
an eel;une anguille;2020-07-02;23;10;0.43;83.75
a hovercraft;un aéroglisseur;2020-07-02;12;9;0.75;97.5
to spruce up;arranger. mettre en ordre;2020-07-02;24;-1;-0.04;82.5
a chuck. a mandrel;un mandrin;2020-07-02;18;9;0.5;90.0
a hood;un capot;2020-07-02;18;11;0.61;90.0
a grasshopper;une sauterelle;2020-07-14;15;12;0.8;93.75
to squelch;écraser;2020-07-14;18;12;0.67;90.0
to go nuts;devenir fou;2020-07-14;22;15;0.68;85.0
a maze;un labyrinthe;2020-07-14;20;13;0.65;87.5
to bootstrap / bootstraps;amorcer / des attaches de bottes;2020-07-14;20;2;0.1;87.5
to lurk;se cacher;2020-07-14;22;13;0.59;85.0
Whack!;Vlan !;2020-07-14;16;13;0.81;92.5
yummy (adj.);délicieux;2020-07-14;15;-7;-0.47;93.75
moldy;moisi;2020-07-14;17;10;0.59;91.25
a weirdo;un type bizarre;2020-07-14;14;9;0.64;95.0
endowed;doté;2020-07-14;25;5;0.2;81.25
watery (adj.);aqueux;2020-07-14;15;9;0.6;93.75
leotards (common name);des collants / un justaucorps;2020-07-14;20;10;0.5;87.5
the skids;les patins;2020-07-14;23;16;0.7;83.75
burlap (common name);la toile de jute;2020-07-14;13;-5;-0.38;96.25
a geezer;un type;2020-07-14;19;13;0.68;88.75
a moose;un élan;2020-07-14;24;7;0.29;82.5
dirt (common name);la saleté;2020-07-14;19;12;0.63;88.75
aching (adj.);douloureux;2020-07-14;19;12;0.63;88.75
tangled up;emmêlé;2020-07-14;16;12;0.75;92.5
a clarion;un clairon;2020-07-14;21;6;0.29;86.25
puny (adj.);chétif;2020-07-14;42;18;0.43;60.0
straight off the bat;tout de suite;2020-07-14;21;9;0.43;86.25
the beak;le bec;2020-07-14;14;10;0.71;95.0
squarely (adv.);carrément;2020-07-14;29;21;0.72;76.25
skidded;dérapé / patiné;2020-07-14;20;-1;-0.05;87.5
the counterpart;l'homologue. l'équivalent;2020-07-14;26;19;0.73;80.0
a roster;une liste de service;2020-07-14;11;-9;-0.82;98.75
a pail;un seau;2020-07-14;23;9;0.39;83.75
a carrion;une charogne;2020-07-14;23;17;0.74;83.75
to give a go. to have a go;essayer;2020-07-14;29;11;0.38;76.25
smitten;frappé. touché. enchanté;2020-07-14;29;12;0.41;76.25
a gurgle;un gargouillis;2020-07-14;21;15;0.71;86.25
a volley;une salve. une grêle;2020-07-14;21;9;0.43;86.25
a keg;un petit barril;2020-07-14;28;13;0.46;77.5
to snap;casser / mordre / lâcher;2020-07-14;28;21;0.75;77.5
a hiss;un sifflement;2020-07-14;19;9;0.47;88.75
a swip;une lampée;2020-07-14;20;-11;-0.55;87.5
a glimmer;une lueur;2020-07-14;24;17;0.71;82.5
dismayed;consterné;2020-07-14;27;19;0.7;78.75
a cleaver;un couperet;2020-07-14;20;-10;-0.5;87.5
mating parts;des pièces d'accouplement;2020-07-21;21;14;0.67;86.25
to scrub;frotter;2020-07-21;17;-11;-0.65;91.25
sultry (adj.);étouffant;2020-07-21;14;0;0.0;95.0
monies (common name);de l'argent. des liquidités;2020-07-21;20;7;0.35;87.5
a hideout;une cachette;2020-07-21;25;15;0.6;81.25
an upwelling;une montée d'eau;2020-07-21;23;2;0.09;83.75
to throb;palpiter;2020-07-21;22;13;0.59;85.0
a throughput;un débit;2020-07-21;22;13;0.59;85.0
seemingly;apparemment;2020-07-30;30;19;0.63;75.0
a rookie (familier);un débutant. un bleu;2020-07-30;16;-2;-0.13;92.5
mush (common name);de la bouillie;2020-07-30;29;12;0.41;76.25
a pea;un pois;2020-07-30;29;19;0.66;76.25
dimly;faiblement;2020-07-30;19;14;0.74;88.75
a caveat;un avertissement;2020-08-03;19;10;0.53;88.75
to knock out;assommer;2020-08-03;26;20;0.77;80.0
to get stable;pourrir. devenir périmé;2020-08-03;17;11;0.65;91.25
The bang for the buck;Le rapport qualité-prix. le retour sur investissement;2020-08-03;25;19;0.76;81.25
lint (common name);de la poussière. une peluche;2020-08-10;24;1;0.04;82.5
clerical work (common name);un travail de bureau;2020-08-10;21;9;0.43;86.25
imbued;imprégné;2020-08-10;24;3;0.13;82.5
to stock;alimenter. entretenir;2020-08-10;22;5;0.23;85.0
the selvage;la lisière;2021-01-05;18;2;0.11;90.0
pruning (common name);la taille (d'un arbuste);2021-01-05;20;17;0.85;87.5
a wile;une ruse. un piège;2021-01-05;20;-1;-0.05;87.5
a dormitory;un dortoir;2021-01-05;14;11;0.79;95.0
a copycat;un imitateur;2021-01-05;28;5;0.18;77.5
a hoarding;une palissade;2021-01-05;20;1;0.05;87.5
hunky dory (expr.);au poil;2021-01-25;33;20;0.61;71.25
a breadcrumb;une miette de pain;2021-01-25;22;15;0.68;85.0
a pitch;un pas / un lancement / le tangage / le terrain;2021-01-25;21;5;0.24;86.25
a steering wheel;un volant de voiture;2021-01-25;19;13;0.68;88.75
crass (adj.);grossier;2021-01-25;23;14;0.61;83.75
a business day;un jour ouvré;2021-02-05;20;14;0.7;87.5
an excerpt;un extrait;2021-02-08;23;11;0.48;83.75
to get hold;se tenir;2021-02-08;21;-10;-0.48;86.25
a churn;une baratte / une résiliation;2021-02-08;21;11;0.52;86.25
a payout;un paiement;2021-02-08;26;18;0.69;80.0
a flint;un silex;2021-02-08;26;18;0.69;80.0
a stroll;une promenade;2021-02-08;23;16;0.7;83.75
a furlough;un congé. une permission;2021-02-08;16;10;0.63;92.5
a hardcover;une couverture rigide;2021-02-08;27;17;0.63;78.75
a caterer;un traiteur;2021-02-08;18;11;0.61;90.0
paperback (adj.);broché (pour un livre);2021-02-08;22;-1;-0.05;85.0
a nook;un coin;2021-02-08;20;12;0.6;87.5
a smattering;une poignée;2021-02-08;20;0;0.0;87.5
a craftsman;un artisan;2021-02-14;11;7;0.64;98.75
a game (hunt.);un gibier;2021-02-14;22;18;0.82;85.0
a hock;un jarret;2021-02-14;13;-8;-0.62;96.25
a backache;un mal de dos;2021-02-14;22;17;0.77;85.0
a headache;un mal de tête;2021-02-14;21;13;0.62;86.25
corn (common name);le maïs;2021-02-14;21;9;0.43;86.25
a stint;une besogne assignée;2021-02-15;15;-8;-0.53;93.75
to delve;creuser;2021-02-15;35;0;0.0;68.75
a blurb;une présentation;2021-02-15;34;21;0.62;70.0
extraneous;étranger;2021-02-15;22;15;0.68;85.0
the breadth;la largeur;2021-02-15;23;7;0.3;83.75
a mainstay;un pilier;2021-02-15;25;17;0.68;81.25
a short notice;un préavis court;2021-02-15;19;9;0.47;88.75
clunky;de bric et de broc;2021-02-15;13;7;0.54;96.25
to tidy up;ranger;2021-02-15;22;1;0.05;85.0
to entice;attirer;2021-02-15;18;14;0.78;90.0
to flag down;héler. faire signe de s'arrêter;2021-02-17;25;18;0.72;81.25
out of fear;par peur;2021-02-21;25;15;0.6;81.25
to report on;faire un rapport sur;2021-02-21;20;16;0.8;87.5
to finish with;finir par;2021-02-21;20;9;0.45;87.5
a thigh;une cuisse;2021-02-22;18;15;0.83;90.0
jammed;coincé;2021-02-22;29;20;0.69;76.25
ailments (common name);des maux;2021-02-22;23;9;0.39;83.75
to withhold;retenir;2021-02-22;20;12;0.6;87.5
a turnstile;un tourniquet;2021-02-22;19;8;0.42;88.75
to refine;peaufiner;2021-02-22;23;16;0.7;83.75
a stationery;une papeterie;2021-02-22;27;6;0.22;78.75
charred;carbonisé;2021-02-22;23;16;0.7;83.75
a butler;un majordome;2021-02-22;21;-13;-0.62;86.25
an outlet;une sortie;2021-02-22;19;11;0.58;88.75
arraigned;interpellé;2021-02-22;19;5;0.26;88.75
buttocks (common name);les fesses (oh !);2021-02-22;17;10;0.59;91.25
a skirt / to skirt;une jupe / contourner. esquiver;2021-02-22;20;1;0.05;87.5
a litter;une litière;2021-02-22;17;12;0.71;91.25
to turnout;s'avérer;2021-02-22;17;6;0.35;91.25
to lease;louer;2021-02-22;24;11;0.46;82.5
standalone;autonome;2021-02-22;27;20;0.74;78.75
jagged;déchiqueté;2021-02-24;27;15;0.56;78.75
a landfill;une décharge;2021-02-24;14;7;0.5;95.0
a curbside;une bordure. un trottoir;2021-02-24;22;8;0.36;85.0
a stub;une extrémité / un talon / une souche;2021-02-24;27;20;0.74;78.75
tenancy (common name);la location;2021-02-24;14;-10;-0.71;95.0
a handout;un polycopié;2021-02-24;21;13;0.62;86.25
a recress;une récréation;2021-02-24;18;15;0.83;90.0
a parlour;un parloir / un petit salon. une arrière-salle;2021-02-24;22;14;0.64;85.0
to mimic;imiter;2021-02-25;17;11;0.65;91.25
to baffle;déconcerter. dérouter;2021-02-26;18;-8;-0.44;90.0
walk-in (adj.);assez large pour y marcher;2021-03-01;16;9;0.56;92.5
a showcase;une vitrine;2021-03-01;19;11;0.58;88.75
a wavelet;une vaguelette;2021-03-02;23;16;0.7;83.75
to refurbish;remettre à neuf;2021-03-03;18;9;0.5;90.0
to season;assaisonner;2021-03-07;25;18;0.72;81.25
the spinal cord;la moëlle épinière;2021-03-07;22;17;0.77;85.0
a crane;une grue (de chantier);2021-03-07;21;13;0.62;86.25
to chop;hacher;2021-03-07;25;13;0.52;81.25
a ladder;une échelle;2021-03-07;21;13;0.62;86.25
stale (adj.);vicié. rassis. éventé;2021-03-07;20;7;0.35;87.5
dairy products;les produits laitiers;2021-03-07;22;15;0.68;85.0
a lobster;un homard;2021-03-07;16;10;0.63;92.5
cinnamon (common name);la cannelle;2021-03-07;21;16;0.76;86.25
plain water;de l'eau claire;2021-03-07;27;12;0.44;78.75
the windpipe;la trachée;2021-03-07;25;18;0.72;81.25
to gasp;haleter;2021-03-07;23;7;0.3;83.75
vintage (adj.);cru / ancien;2021-03-07;32;23;0.72;72.5
the bowels;les intestins;2021-03-07;15;11;0.73;93.75
glutted;saturé;2021-03-07;21;-12;-0.57;86.25
to be out of sorts (expr.);être de bonne humeur;2021-03-07;17;5;0.29;91.25
a deadlock;une impasse;2021-03-07;12;11;0.92;97.5
a stew;un ragoût. un civet;2021-03-07;19;10;0.53;88.75
a locksmith;un serrurier;2021-03-07;23;18;0.78;83.75
an occupational disease;une maladie professionnelle;2021-03-07;20;17;0.85;87.5
a rare steak;un steak saignant;2021-03-07;31;18;0.58;73.75
a jug;une cruche;2021-03-07;25;-12;-0.48;81.25
a thankless work;un travail ingrat;2021-03-07;18;11;0.61;90.0
a sheath;une gaine;2021-03-07;26;17;0.65;80.0
scrawny;maigre;2021-03-07;15;-8;-0.53;93.75
heady (adj.);capiteux;2021-03-07;15;5;0.33;93.75
a relapse (medic.);une rechute;2021-03-07;23;17;0.74;83.75
temping (verb);travailler en intérim;2021-03-07;29;-2;-0.07;76.25
to graft;greffer;2021-03-07;23;10;0.43;83.75
parsley (common name);le persil;2021-03-07;23;16;0.7;83.75
rusty;rouillé;2021-03-07;23;9;0.39;83.75
a lollipop;une sucette;2021-03-07;18;14;0.78;90.0
odd jobs;des petits boulots;2021-03-07;16;14;0.88;92.5
a sell-by date;une date de péremption;2021-03-07;29;20;0.69;76.25
a saucer;une soucoupe;2021-03-07;11;4;0.36;98.75
to cough;tousser;2021-03-07;18;14;0.78;90.0
overhanging;surplombant;2021-03-14;22;15;0.68;85.0
drizzle (common name);la bruine;2021-03-14;23;10;0.43;83.75
a tributary;un affluent;2021-03-14;24;10;0.42;82.5
a waterspout;une trombe;2021-03-14;28;11;0.39;77.5
a whirlpool;un tourbillon;2021-03-14;21;17;0.81;86.25
a dale;une vallée;2021-03-14;16;9;0.56;92.5
a trade wind;un alizé;2021-03-14;27;17;0.63;78.75
sleet (common name);la neige fondue;2021-03-14;28;17;0.61;77.5
a muskrat;un rat musqué;2021-03-14;22;17;0.77;85.0
slimy;visqueux;2021-03-14;18;-10;-0.56;90.0
black ice (common name);le verglas;2021-03-14;24;19;0.79;82.5
a downpour;une averse;2021-03-14;20;14;0.7;87.5
a reef;un récif;2021-03-14;28;16;0.57;77.5
a doldrum;un marasme;2021-03-16;28;19;0.68;77.5
a weather vane;une girouette;2021-03-16;20;12;0.6;87.5
staple goods;les produits de base;2021-03-16;22;6;0.27;85.0
looming;imminent;2021-03-16;19;2;0.11;88.75
a gust of wind;un coup de vent;2021-03-16;15;11;0.73;93.75
sunlit (adj.);ensoleillé;2021-03-16;16;8;0.5;92.5
a warhead;une ogive;2021-03-16;22;17;0.77;85.0
the deterrence;la dissuasion;2021-03-16;15;-2;-0.13;93.75
up-market;haut de gamme;2021-03-16;12;4;0.33;97.5
takings (common name);les recettes;2021-03-16;18;-8;-0.44;90.0
cronyism (common name);le copinage;2021-03-16;19;10;0.53;88.75
to abate;diminuer;2021-03-16;16;-4;-0.25;92.5
to lapse;abandonner;2021-03-21;17;-8;-0.47;91.25
a fellow;un compagnon / une compagne;2021-03-21;16;3;0.19;92.5
manly (adj.);viril;2021-03-21;17;15;0.88;91.25
Mayday!;Au secours !;2021-03-21;18;11;0.61;90.0
a roundup;une rafle;2021-03-21;20;6;0.3;87.5
a war of attrition;une guerre à l'usure;2021-03-21;20;14;0.7;87.5
a setback;un revers;2021-03-21;26;12;0.46;80.0
lawfullness (common name);la régularité;2021-03-21;13;10;0.77;96.25
to hand out;distribuer;2021-03-21;24;16;0.67;82.5
the rubble;les décombres. les gravats;2021-03-21;27;-8;-0.3;78.75
warring (adj.);en guerre;2021-03-21;22;17;0.77;85.0
to havass;ravager;2021-03-21;20;11;0.55;87.5
a rout;une débâcle. une déroute;2021-03-21;17;-12;-0.71;91.25
garish;voyant. criard;2021-03-28;28;10;0.36;77.5
artistry (common name);le talent artistique;2021-03-28;16;-1;-0.06;92.5
terracotta (common name);une terre cuite;2021-03-28;19;14;0.74;88.75
to jeer;railler;2021-03-28;21;16;0.76;86.25
a watercolour;une aquarelle;2021-03-28;27;20;0.74;78.75
a rejoinder;une réplique. une répartie;2021-03-28;21;10;0.48;86.25
a witticism;un mot d'esprit;2021-03-28;21;14;0.67;86.25
to tone down;atténuer;2021-03-28;17;11;0.65;91.25
a still life;une nature morte;2021-03-28;16;13;0.81;92.5
a shade;une ombre;2021-03-28;14;6;0.43;95.0
a forgery;une falsification. une contrefaçon;2021-03-28;26;18;0.69;80.0
to mumble;marmonner;2021-03-28;20;14;0.7;87.5
a mallet;un maillet;2021-03-28;25;16;0.64;81.25
rousing;vibrant. entraînant;2021-03-28;20;1;0.05;87.5
shrill;aigu;2021-03-28;8;7;0.88;102.5
plaster (common name);le plâtre / un pansement. un sparadrap;2021-03-28;25;11;0.44;81.25
a curator;un conservateur de musée;2021-03-28;18;-2;-0.11;90.0
a draughtsman;un dessinateur;2021-03-28;17;-12;-0.71;91.25
an innuendo;une insinuation;2021-03-28;22;16;0.73;85.0
an easel;un chevalet;2021-03-28;21;2;0.1;86.25
a viewfinder;un viseur;2021-03-28;14;12;0.86;95.0
gaudy;voyant. criard;2021-03-28;14;-8;-0.57;95.0
to rail;lutter / entourer d'une barrière;2021-03-28;26;-3;-0.12;80.0
doodle (common name);le gribouillage;2021-03-28;16;1;0.06;92.5
to scram;filer. déguerpir;2021-04-12;20;-14;-0.7;87.5
brawler (adj.);bagarreur;2021-04-12;12;-3;-0.25;97.5
snuff (common name);du tabac à priser;2021-04-12;18;10;0.56;90.0
to strut;se pavaner;2021-04-12;12;-3;-0.25;97.5
a curfew;un couvre-feu;2021-04-12;27;20;0.74;78.75
to quiver;trembler;2021-04-12;23;1;0.04;83.75
a shanty town;un bidonville;2021-04-13;22;17;0.77;85.0
implied;implicite;2021-04-13;20;7;0.35;87.5
garrulous;bavard;2021-04-13;22;-15;-0.68;85.0
a tile;une tuile;2021-04-13;28;21;0.75;77.5
a wasteland;une terre desolée;2021-04-13;23;16;0.7;83.75
to stammer;balbutier;2021-04-13;24;15;0.63;82.5
a groan;un gémissement;2021-04-13;19;0;0.0;88.75
to fit out;équiper;2021-04-13;26;14;0.54;80.0
an outing;une sortie. une excursion;2021-04-13;24;9;0.38;82.5
curt (adj.);sec. brusque;2021-04-13;21;11;0.52;86.25
a porthole;un hublot;2021-04-13;27;13;0.48;78.75
rot proof (adj.);imputrescible;2021-04-13;16;13;0.81;92.5
sandstone (common name);le grès;2021-04-13;17;12;0.71;91.25
to splutter;bafouiller;2021-04-13;20;5;0.25;87.5
a sob;un sanglot;2021-04-13;21;16;0.76;86.25
bracing (adj.);tonifiant. fortifiant;2021-04-13;28;12;0.43;77.5
grumpy;grincheux;2021-04-13;11;5;0.45;98.75
to rebuke;réprimander;2021-04-13;19;-6;-0.32;88.75
to stow away;s'embarquer clandestinement;2021-04-13;16;-9;-0.56;92.5
a level crossing;un passage à niveau;2021-04-13;19;11;0.58;88.75
to squat;s'accroupir;2021-04-13;19;-3;-0.16;88.75
to sprawl;s'étaler;2021-04-13;14;-2;-0.14;95.0
a borough;un arrondissement. une municipalité;2021-04-13;26;19;0.73;80.0
a grunt;un grognement;2021-04-13;23;11;0.48;83.75
wholesome (adj.);sain. salubre;2021-04-13;18;-5;-0.28;90.0
to giggle;pouffer de rire;2021-04-13;18;12;0.67;90.0
watertight;étanche;2021-04-13;22;15;0.68;85.0
cramped;à l'étroit;2021-04-13;30;16;0.53;75.0
to stutter;bégayer;2021-04-13;16;12;0.75;92.5
outspoken;franc;2021-04-13;16;-9;-0.56;92.5
a clutch (techn.);un embrayage;2021-04-13;22;5;0.23;85.0
blinds (common name);des aveugles / des stores;2021-04-13;26;19;0.73;80.0
a tow truck;une dépanneuse;2021-04-13;20;13;0.65;87.5
to swallow;déglutir;2021-04-22;14;10;0.71;95.0
out of whack;hors du coup;2021-05-18;24;8;0.33;82.5
to fling;jeter;2021-05-18;31;12;0.39;73.75
a shack;une cabane;2021-05-18;15;10;0.67;93.75
to cobble;bricoler;2021-05-18;23;-12;-0.52;83.75
a padlock;un cadenas;2021-05-18;20;10;0.5;87.5
to bolster;renforcer. rembourrer;2021-05-18;20;11;0.55;87.5
wistful;mélancolique;2021-05-18;14;-12;-0.86;95.0
to toggle;basculer;2021-05-18;19;13;0.68;88.75
an anchor;une ancre;2021-05-18;16;13;0.81;92.5
gassy;effervescent / bavard;2021-05-29;16;-4;-0.25;92.5
per-say (expr.);en fait;2021-06-02;18;-10;-0.56;90.0
bully;intimidateur;2021-06-03;13;-4;-0.31;96.25
bed-ridden;alité;2021-06-04;22;17;0.77;85.0
sleek;lisse. brillant / élégant;2021-06-10;18;2;0.11;90.0
astute;astucieux;2021-06-10;13;9;0.69;96.25
a raft;un radeau;2021-06-10;18;15;0.83;90.0
a yoke;un joug. un attelage;2021-06-10;21;3;0.14;86.25
a blob;une goutte;2021-06-11;23;5;0.22;83.75
flaky;floconneux;2021-06-17;16;7;0.44;92.5
a wafer;une tranche;2021-06-17;21;-8;-0.38;86.25
to shun;éviter. fuir;2021-06-17;19;-6;-0.32;88.75
mundane;banal;2021-06-19;17;-6;-0.35;91.25
to mop;nettoyer. essuyer;2021-06-19;19;-13;-0.68;88.75
a mice;une souris;2021-06-19;14;11;0.79;95.0
pristine;parfait / primitif. virginal;2021-06-22;20;9;0.45;87.5
no cigar (expr.);presque réussi. mais pas complètement;2021-06-22;13;5;0.38;96.25
a stork;une cigogne;2021-06-24;12;10;0.83;97.5
to scoff;se moquer. tourner en ridicule;2021-06-25;16;-15;-0.94;92.5
a hoop;un cerceau;2021-06-25;17;-3;-0.18;91.25
to tingle;picoter. fourmiller;2021-06-25;16;3;0.19;92.5
to stocktake;faire l'inventaire;2021-06-25;17;9;0.53;91.25
brazen (adj.);effronté;2021-06-29;20;5;0.25;87.5
to cull;cueillir / sélectionner;2021-06-29;15;8;0.53;93.75
a wallop;un coup. une rossée;2021-07-01;16;12;0.75;92.5
a tryst;un rendez-vous galant;2021-07-01;18;4;0.22;90.0
an emporium;un centre commercial;2021-07-01;16;1;0.06;92.5
lackadaisical;apathique. indolent;2021-07-04;12;-8;-0.67;97.5
rote;par cur;2021-07-04;25;15;0.6;81.25
to earmark smthg to smthg;destiner qqch à un usage particulier;2021-07-05;17;14;0.82;91.25
a wheelbarrow;une brouette;2021-07-05;20;14;0.7;87.5
to shove;pousser. enfoncer;2021-07-08;12;2;0.17;97.5
forcefully;vigoureusement;2021-07-10;22;-1;-0.05;85.0
pushups (common name);des pompes (musculation);2021-07-14;14;11;0.79;95.0
work out (common name);l'entraînement physique;2021-07-14;18;0;0.0;90.0
a rationale;un raisonnement;2021-07-15;17;14;0.82;91.25
the foresight;la prévoyance;2021-07-18;19;15;0.79;88.75
glistening;brillant;2021-07-18;23;15;0.65;83.75
a flutter;un battement / une agitation;2021-07-18;16;0;0.0;92.5
conspicuous;visible. évident / formidable;2021-07-18;23;-3;-0.13;83.75
a backlash;un contrecoup;2021-07-18;19;-5;-0.26;88.75
a cloth;un chiffon;2021-07-18;17;1;0.06;91.25
the conceit;la vanité;2021-07-18;21;-10;-0.48;86.25
flax (common name);le lin;2021-07-18;19;6;0.32;88.75
a salvage;un sauvetage;2021-07-18;12;-3;-0.25;97.5
a heist;un braquage;2021-07-18;14;-11;-0.79;95.0
an ordeal;un supplice;2021-07-18;18;8;0.44;90.0
to rein in;maîtriser;2021-07-18;22;14;0.64;85.0
in awe (expr.);en admiration;2021-07-18;18;15;0.83;90.0
agonizing;angoissant;2021-07-18;17;3;0.18;91.25
hawking (common name);le colportage;2021-07-18;19;13;0.68;88.75
a drudgery;une corvée;2021-07-18;12;-10;-0.83;97.5
poised;en équilibre;2021-07-18;12;-10;-0.83;97.5
on premise;sur place;2021-07-18;14;8;0.57;95.0
a fender;une aile (de véhicule);2021-07-18;21;-2;-0.1;86.25
a war chest;un coffre de guerre;2021-07-18;11;7;0.64;98.75
a curd;un type de fromage blanc / un cabot. un sale chien;2021-07-18;22;-4;-0.18;85.0
to doze;sommeiller;2021-07-18;21;15;0.71;86.25
a trove;un trophée;2021-07-18;17;9;0.53;91.25
a wedge;un coin. une cale;2021-07-19;15;9;0.6;93.75
to disprove;réfuter;2021-07-22;21;13;0.62;86.25
a disbursement;un décaissement;2021-07-22;15;10;0.67;93.75
a down payment;un acompte / le premier versement;2021-07-22;24;18;0.75;82.5
uphill (adj.);difficile. pénible / qui monte;2021-07-22;8;-7;-0.88;102.5
edible;comestible;2021-07-27;11;8;0.73;98.75
to sway;se balancer;2021-08-04;7;-5;-0.71;103.75
to quell;réprimer;2021-08-04;19;-16;-0.84;88.75
to pinch;pincer. piquer / serrer;2021-08-04;11;-5;-0.45;98.75
derpy;ridicule;2021-08-04;15;-5;-0.33;93.75
gingerbread (common name);le pain d'épice;2021-08-04;10;9;0.9;100.0
an obfuscation;un obscurcissement;2021-08-06;18;10;0.56;90.0
glutes (common name);les muscles fessiers;2021-08-07;12;1;0.08;97.5
a typo;une faute de frappe;2021-08-10;17;9;0.53;91.25
to balk;rechigner;2021-08-14;14;-11;-0.79;95.0
a steward;un intendant;2021-08-14;21;17;0.81;86.25
culling (hunt.);l'abattage (réduction de population organisée);2021-08-14;18;-13;-0.72;90.0
eldritch (adj.);surnaturel;2021-08-17;11;-9;-0.82;98.75
a hoot;une huée / une hululement;2021-08-17;17;-3;-0.18;91.25
gore-flecked;maculé de sang;2021-08-17;15;13;0.87;93.75
collusive (adj.);complice;2021-08-17;16;3;0.19;92.5
jarring;discordant;2021-08-17;16;-14;-0.88;92.5
